Sl. No.,Metric Name,Definition,Preferred Direction
2164,R10@5,A metric used to evaluate the performance of recommendation models,Higher
2165,R2,The R-squared score of a model,Higher
2166,R2@1,R2 at 1,Higher
2167,RACE,A metric used to evaluate the performance of reading comprehension models,Higher
2168,RACE-h,RACE-h,-
2169,RACE-m,A metric used to measure the performance of a natural language processing system .,Higher
2170,race-top1,Race Top-1,Higher
2171,Race/Color,The race or color of a person,Not Clear
2172,RandPerson->mAP,The mean average precision of a model on the RandPerson dataset,Higher
2173,Rank (AutoML5),Rank of the model in the AutoML5 challenge,Lower
2174,Rank difference,A metric used to evaluate the performance of recommendation models,Lower
2175,Rank-1,The rank of the first correct prediction,Lower
2176,rank-1,Rank-1,N/A
2177,Rank-1,Rank-1 accuracy for person re-identification.,Higher
2178,Rank-1 (All Search),Rank-1 on All Search dataset,Higher
2179,Rank-1 (All Search),Rank-1 for All Search,N/A
2180,Rank-1 (Indoor Search),Rank-1 for Indoor Search,N/A
2181,Rank-1 (Indoor Search),Rank-1 (indoor search),Higher 
2182,Rank-1 (Thermal to Visible),Rank-1 (Thermal to Visible),Higher 
2183,Rank-1 (Thermal to Visible),Rank-1 accuracy for thermal to visible face recognition.,Higher
2184,Rank-1 (Video2Booking),Rank-1 on Video2Booking dataset,Higher
2185,Rank-1 (Video2Single),Rank-1 score is a metric used to evaluate person re-identification models in video surveillance tasks. It measures how often an individual can be correctly identified across multiple camera views using only one reference image per individual.,Higher
2186,Rank-1 (Video2Video),A metric used to evaluate the performance of video generation models,Higher
2187,Rank-1 (Visible to Thermal),Rank-1 for Visible to Thermal,N/A
2188,Rank-1 (Visible to Thermal),Rank-1 (Visible to Thermal),Higher 
2189,Rank-1 Recognition Rate,Rank-1 Recognition Rate,Higher
2190,Rank-10,A metric used to evaluate the performance of recommendation models,Higher
2191,rank-10,Rank-10,N/A
2192,Rank-20,Rank-20,Higher 
2193,rank-5,A metric used to evaluate the performance of recommendation models,Higher
2194,Rank-5,Rank-5,N/A
2195,Rank-5,Rank-5,Higher 
2196,Rank-50,A metric used to evaluate the performance of recommendation models,Lower
2197,rank1,A metric used to evaluate the performance of recommendation models,Higher
2198,Rank1,Rank 1,Higher 
2199,rank1(V2T),Rank-1 on Visible to Thermal dataset,Higher
2200,Rank5,Rank-5 accuracy for face recognition.,Higher
2201,RBDC,Rank-Based Distance Correlation (RBDC) is a metric used to evaluate the similarity between two sets of data points. It measures the distance correlation between the ranks of two sets of data points. Higher values indicate greater similarity.,Higher
2202,rBLEU (Test),Measures the quality of machine translation models,Higher 
2203,rBLEU (Valid),Relative BLEU score for machine translation validation set,Higher
2204,rBLEU(w/title)(Test),Recall-weighted BLEU score with n-gram order of 4 for machine translation evaluation.,Higher
2205,rBLEU(w/title)(Valid),Recall BLEU with title on Validation dataset,Higher
2206,RDK FTS,Fraction of Test Sequences,Higher 
2207,RE (all),Overall relation extraction accuracy,Higher 
2208,RE Macro F1,Relation Extraction Macro F1,Higher
2209,RE Micro F1,A metric used to measure the performance of a natural language processing system .,Higher
2210,RE-4,Recall at 4 detections with IoU threshold of 0.5,Higher
2211,Re-R@1,Re-Rank Recall at 1,Higher
2212,Re-R@10,Re-R at 10,Higher 
2213,Re-R@5,A metric used to evaluate the performance of recommendation models,Higher
2214,RE+ Macro F1,The macro F1 score of a model on the Relation Extraction task,Higher
2215,Real,Real,N/A
2216,Reasonable Miss Rate,Reasonable Miss Rate,Lower
2217,Reasonable MR^-2,The reasonable MR^-2 score of a model,Higher
2218,Reasoning (Alg.),Reasoning Algorithm,N/A
2219,Reasoning (Com.),Commonsense reasoning accuracy.,Higher
2220,Reasoning (Cou.),Reasoning (count),Higher 
2221,Reasoning (Est.),The estimated reasoning ability of a model,Higher
2222,Reasoning (Fra.),Reasoning (French),N/A
2223,Reasoning (Geo.),A metric used to evaluate the performance of visual question answering models,Higher
2224,Reasoning (Mea.),Reasoning (mean),Higher 
2225,Reasoning (Pat.),A metric used to measure the performance of a natural language processing system .,Higher
2226,Reasoning (Pro.),Commonsense reasoning accuracy on problems with pronouns in the Winograd Schema Challenge dataset.,Higher
2227,Reasoning (Sce.),Reasoning Scenario,N/A
2228,Reasoning (Spa.),Reasoning (Spatial) is a metric used to evaluate natural language processing models in visual question answering tasks. It measures how well a model can reason about spatial relationships between objects in images using natural language queries.,Higher
2229,Reasoning (Tim.),Reasoning (Time),N/A
2230,recall,Recall,Higher
2231,Recall,Recall,Higher 
2232,Recall (%),A metric used to evaluate the performance of recommendation models,Higher
2233,Recall (%),Recall percentage,Higher
2234,"Recall (0.6m, 5 degrees)",A metric used to evaluate the performance of pose estimation models,Higher
2235,Recall (VSD),Recall (VSD),Higher 
2236,Recall @ 10,A metric used to evaluate the performance of recommendation models,Higher
2237,Recall 10@1,Recall 10 at 1,Higher 
2238,Recall at 80% precision (Landmarks Visibility),Recall at 80% precision for Landmarks Visibility,Higher
2239,recall@1,A metric used to evaluate the performance of recommendation models,Higher
2240,Recall@1,A metric used to evaluate the performance of recommendation models,Higher
2241,Recall@1 (%),The percentage of examples for which the correct answer is in the top 1 predictions,Higher
2242,recall@10,Recall at 10,Higher 
2243,Recall@10,Recall at 10 is a metric used to evaluate recommendation systems that recommend items or products to users.,Higher
2244,Recall@100,Recall at 100 detections,Higher
2245,Recall@1x (tIoU=0.5),A metric used to evaluate the performance of action recognition models,Higher
2246,Recall@2,Recall@2 is a metric used to evaluate recommendation systems. It measures the percentage of relevant items that are recommended among the top 2 recommendations.,Higher
2247,Recall@20,Recall at 20,Higher
2248,Recall@200,Recall at 200,Higher 
2249,recall@5,Recall at 5 detections,Higher
2250,Recall@5,Recall at 5,Higher
2251,Recall@50,A metric used to evaluate the performance of recommendation models,Higher
2252,Recall@500,Recall at 500 detections,Higher
2253,Recall@64,Recall@64 is a metric used to evaluate recommendation systems. It measures the percentage of relevant items that are recommended among the top 64 recommendations.,Higher
2254,Recall@Sum,Recall at Sum,Higher
2255,Reconstruction,Reconstruction,N/A
2256,Recovered Showers,Recovered Showers is a metric used to evaluate particle physics models in shower reconstruction tasks. It measures how well a model can reconstruct particle showers from detector data using energy and position information.,Higher
2257,Refexp (ablation),Referring Expression Comprehension with ablation study,N/A
2258,Refexp (test),The refexp score of a model on the test task,Higher
2259,Region (Top 1 (%)),The top-1 percentage of a model on the region detection task,Higher
2260,Region (Top 3 (%)),Percentage of top 3 regions correctly predicted in an object detection task,Higher
2261,REIDAcc,Accuracy of person re-identification on the Market-1501 dataset.,Higher
2262,REIDSim,A metric used to evaluate the performance of person re-identification models,Higher
2263,REL,Relative error,Lower 
2264,Relation classification F1,F1-score for relation classification task,Higher 
2265,Relation F1,Relation F1,Higher
2266,Relative Change Point Distance,A metric used to evaluate the performance of change point detection models,Lower
2267,Relaxed Detection (F1),The harmonic mean of precision and recall for relaxed detection,Higher
2268,Relaxed Detection (Pr.),Relaxed detection (precision),Higher 
2269,Relaxed Detection (Re.),A metric used to measure the performance of an object detection system .,Higher
2270,relaxFbβ,F_beta score for relaxed matching,Higher 
2271,relevance (human),Relevance score assigned by human raters for a given input,Higher
2272,Religion,The religion of a person,Not Clear
2273,Request,Percentage of requests that are successfully handled by a machine learning model or neural network architecture in a recommendation system.,Higher
2274,Rerr,Rerr,N/A
2275,Resolution,The number of pixels in an image,Higher
2276,Restaurant (Acc),A metric used to measure the performance of a sentiment analysis system .,Higher
2277,Restaurant (F1),Restaurant F1 score,Higher
2278,Restaurant 2014 (F1),Restaurant 2014 for F1,Higher
2279,Restaurant 2015 (F1),Measures the performance of opinion mining models,Higher 
2280,Restaurant 2016 (F1),Restaurant 2016 (F1) is a benchmark dataset for evaluating sentiment analysis models on restaurant reviews with complex sentiment expressions and opinions. The metric measures the F1 score of predicted sentiment labels compared to ground truth labels.,Higher
2281,Retrieval,Retrieval,N/A
2282,Retrieval Top10 Recall,Retrieval Top10 Recall,Higher
2283,Return,Return,N/A
2284,RF+ Micro F1,RF+ micro F1 score.,Higher
2285,RG-2(%),RG-2(%),Higher 
2286,RG-L(%),R@n for Ground-truth of a fraction L of the test set,Higher 
2287,RI,Rand index,Higher 
2288,RightWhaleCalls,A metric used to measure the performance of a machine learning model .,Higher
2289,RL,RL,Higher 
2290,RL2(*100),Reinforcement learning metric multiplied by 100,Higher 
2291,RLsum,A metric for summarization that measures the ROUGE-L score of a summary.,Higher
2292,RMS,The root-mean-square error of a model,Lower
2293,RMSE,A metric used to evaluate the performance of regression models,Lower
2294,RMSE,Root Mean Square Error,Lower
2295,RMSE (Random 90/10 Splits),The root-mean-square error of a model on random 90/10 splits of the data,Lower
2296,RMSE (u1 Splits),Root mean squared error for a given regression task with 1 data split,Lower
2297,RMSE log,Root Mean Squared Error of the logarithm of the predicted values,Lower
2298,RMSE log-signature,Root mean squared error of the log-signature distance between two time series in a time series classification task.,Lower
2299,RMSE Signature,Root mean square error signature,Lower 
2300,RMSE(test),A metric used to evaluate the performance of regression models,Lower
2301,RMSE(val),A metric used to evaluate the performance of regression models,Lower
2302,Robust Accuracy,Robust accuracy,Higher 
2303,ROC AUC,Receiver operating characteristic area under the curve,Higher 
2304,ROC-AUC,Receiver operating characteristic area under the curve,Higher 
2305,ROC-AUC FAR,ROC-AUC at FAR,Higher
2306,ROC-AUC NEAR,Area under ROC curve for NEAR (Near-duplicate Image Retrieval) task,Higher 
2307,Rotation Type Accuracy,The accuracy of a model on the rotation type classification task,Higher
2308,ROUGE,ROUGE,Higher 
2309,ROUGE-1,A metric used to evaluate the performance of text summarization models,Higher
2310,Rouge-1,A metric used to evaluate the performance of text summarization models,Higher
2311,ROUGE-2,ROUGE-2,Higher
2312,Rouge-2,Rouge-2,Higher 
2313,ROUGE-3,The ROUGE-3 score of a model,Higher
2314,ROUGE-L,A metric used to evaluate the performance of text summarization models,Higher
2315,Rouge-L,Rouge-L,Higher
2316,ROUGE-SU4,Recall-oriented understudy for gisting evaluation - skip bigram and unigram with stop words,Higher 
2317,Rouge1,A metric used to evaluate the performance of text summarization models,Higher
2318,rouge1,A metric used to evaluate the performance of text summarization models,Higher
2319,Rouge2,Rouge2,Higher
2320,RougeL,RougeL is a metric used to evaluate natural language processing models in text summarization tasks. It measures the F1 score of overlapping n-grams between generated and reference summaries.,Higher
2321,rougeL F1,A metric used to measure the performance of a natural language processing system .,Higher
2322,Route Completion,Route completion,Higher 
2323,Route completion,A metric used to evaluate the performance of autonomous vehicles in navigation tasks. It measures the percentage of routes completed successfully by an autonomous vehicle.,Higher
2324,RQ,RQ is a metric used to evaluate generative models in image synthesis tasks. It measures the ratio between the number of unique images generated by a model and the total number of images generated by that model across multiple runs or iterations. Higher values indicate greater diversity in generated images.,Higher
2325,RQst,A metric used to evaluate the performance of question answering models,Higher
2326,RQth,A metric used to evaluate the performance of natural language processing models,Higher
2327,RRE,Measures the robustness of speech recognition models to environmental noise,Higher 
2328,RRE (degrees),The relative rotation error of a model in degrees,Lower
2329,RRSE,A metric used to evaluate the performance of regression models,Lower
2330,RS (miss rate),The RS miss rate of a model,Lower
2331,RST-Parseval (Full),A metric used to evaluate the performance of text classification models,Higher
2332,RST-Parseval (Nuclearity),A metric used to evaluate the performance of natural language processing models,Higher
2333,RST-Parseval (Relation),RST-Parseval on Relation dataset,N/A
2334,RST-Parseval (Span),RST-Parseval score for span,Higher
2335,RTE,The RTE score of a model,Higher
2336,RTE (cm),A metric used to evaluate the performance of pose estimation models,Lower
2337,RU-Recall@10,RU-recall at 10,Higher 
2338,Ruby,A metric used to measure the performance of a natural language processing system .,Higher
2339,Runtime (s),Time taken to execute a program or process,Lower
2340,Runtime (s),Runtime in seconds,Lower
2341,Runtime [ms],A metric used to evaluate the performance of machine learning models,Lower
2342,S measure,S measure,Higher 
2343,s-AUC,A metric used to measure the performance of a binary classification system .,Higher
2344,S-FID,A metric used to evaluate the quality of generative models,Lower
2345,S-measure,The S-measure of a model on the BSDS500 dataset,Higher
2346,S-Measure,S-Measure,Higher
2347,SacreBLEU,SacreBLEU score,Higher
2348,SAD,Sum of Absolute Differences,Lower
2349,SAD(E),SAD(E) is a metric used to evaluate stereo vision models in robotics tasks. It measures the sum of absolute differences between predicted and ground truth stereo images on both camera views.,Lower
2350,SAM,Spatially Adaptive Metrics,N/A
2351,sAMOTA,Spatially-Aware Multi-Object Tracking Accuracy,Higher 
2352,sAP,A metric used to evaluate the performance of object detection models,Higher
2353,sAP10,Segmentation average precision at threshold 0.1.,Higher
2354,sAP15,sAP15 is a metric used to evaluate object detection models. It measures the average precision across all IoU thresholds greater than or equal to 0.15.,Higher
2355,sAP5,sAP5,Higher
2356,SAR,A metric used to evaluate the performance of recommendation models,Higher
2357,SARI,SARI,Higher
2358,SARI (EASSE>=0.2.1),"Semantic Adequacy, Relevance, and Information Content (SARI)",Higher
2359,sAUC,Smoothed Area Under the Curve,Higher
2360,SC,A metric used to evaluate the performance of text classification models,Higher
2361,Scaffold similarity,The similarity of a model’s scaffold to the true scaffold,Higher
2362,Scaled time-delay embeddings,A metric for speaker recognition that measures the similarity between speaker embeddings.,Higher
2363,SceneFID,A metric used to measure the performance of a generative model .,Lower
2364,Score,A metric used to evaluate the performance of recommendation models,Higher
2365,SCOTUS,The accuracy of a model on the SCOTUS dataset,Higher
2366,SD,Standard Deviation,Lower
2367,SDR,Signal-to-distortion ratio,Higher 
2368,SDR (alto),A metric used to measure the quality of a audio .,Higher
2369,SDR (avg),Signal-to-Distortion Ratio (average),Higher
2370,SDR (bass),The signal-to-distortion ratio of a bass signal,Higher
2371,SDR (drums),Signal-to-Distortion Ratio for drums,Higher
2372,SDR (other),A metric used to evaluate the performance of speech enhancement models,Higher
2373,SDR (soprano),A metric used to evaluate the performance of speech enhancement models,Higher
2374,SDR (tenor),Signal-to-distortion ratio (tenor),Higher 
2375,SDR (vocal percussion),Signal-to-Distortion Ratio for vocal percussion,Higher
2376,SDR (vocals),The signal-to-distortion ratio of a vocal signal,Higher
2377,SDRi,Signal-to-distortion ratio improvement,Higher 
2378,SDRi (Average),Signal-to-distortion ratio improvement averaged over all audio samples.,Higher
2379,SDRi (Music),Signal-to-Distortion Ratio Improvement for Music Separation task,Higher 
2380,SDRi (Noise),SDRi (Noise) is a metric used to evaluate speech enhancement models in audio processing tasks. It measures how well an enhancement model can remove noise from speech signals using signal-to-distortion ratio metrics.,Higher
2381,SDRi (Speech),Signal-to-distortion ratio improvement for speech enhancement evaluation.,Higher
2382,Search Time (GPU days),Search time in GPU days,Lower 
2383,Search time (s),Search time in seconds,Lower
2384,SED-score,Sound Event Detection score,Higher
2385,SEG (~Mean IoU),SEG (~Mean IoU),Higher
2386,Segmentation (ablation),Difference in segmentation performance after ablation,Lower 
2387,Segmentation (test),Segmentation on test set,Higher
2388,Segmentation AP,Average precision for a semantic segmentation task.,Higher
2389,Segmentation AUCROC,Area Under the Receiver Operating Characteristic Curve for segmentation task,Higher 
2390,Segmentation AUPRO,A metric used to evaluate the performance of image segmentation models,Higher
2391,Segmentation AUROC,Area Under the Receiver Operating Characteristic Curve for segmentation task,Higher 
2392,SegSNR,Signal-to-noise ratio for a speech enhancement task.,Higher
2393,SELD score,Sound event localization and detection score,Higher
2394,SemEval 2007,A metric used to evaluate the performance of semantic relation extraction models,Higher
2395,SemEval 2013,Accuracy of sentiment analysis on the SemEval 2013 dataset.,Higher
2396,SemEval 2015,SemEval 2015,-
2397,Senseval 2,Word sense disambiguation task evaluation metric,Higher 
2398,Senseval 3,Senseval 3 task score,Higher
2399,Sensitivity,Sensitivity,Higher
2400,sensitivity,Sensitivity,Higher 
2401,Sensitivity Per-patient,A metric used to evaluate the performance of medical image segmentation models,Higher
2402,Sensitivity Per-segment,Sensitivity Per-segment,Higher
2403,Sensors,Sensors,-
2404,Sentence Encoder,The encoder used to encode sentences,Not Clear
2405,Sentence Retrieval,Sentence retrieval,Higher 
2406,Sentence-level Cat 1 (Accuracy),The accuracy of a model on the sentence-level category 1 task,Higher
2407,Sentence-level Cat 2 (Accuracy),Accuracy of sentence-level categorization task.,Higher
2408,Sentence-level Cat 3 (Accuracy),The accuracy of a model on the sentence-level category 3 task,Higher
2409,Sentence-pair Classification,Accuracy for sentence-pair classification task,Higher 
2410,Sentiment,The accuracy of a model on the sentiment analysis task,Higher
2411,Sequence Error,Error rate in speech recognition for a sequence of words,Lower
2412,Session-level 13-class Acc,Accuracy of session-level classification into one of thirteen classes in a speech recognition task.,Higher
2413,Session-level 4-class Acc,A metric used to measure the performance of a speaker verification system .,Higher
2414,Session-level 6-class Acc,Session-level 6-class Accuracy,Higher
2415,Set1 (F1),F1 score is a metric used to evaluate binary classification models. It measures the harmonic mean of precision and recall for positive samples in a dataset. Set1 (F1) refers to F1 score calculated using only one set of features or inputs in a model. Higher values indicate better performance.,Higher
2416,Set2 (PAC),A metric used to evaluate the performance of recommendation models,Higher
2417,Set3 (AUC),The AUC score of a model on the Set3 dataset,Higher
2418,Set4 (ABS),A metric used to evaluate the performance of image restoration models,Lower
2419,Set5 (BAC),A metric used to measure the performance of a binary classification system .,Higher
2420,Sexual Orientation,Sexual Orientation,N/A
2421,Shape IoU,A metric used to measure the performance of an object detection system .,Higher
2422,Shen F-1,Measures the performance of text classification models,Higher 
2423,Si-L2,Siamese L2,N/A
2424,Si-MSE,Si-MSE is a metric used to evaluate generative models in image synthesis tasks. It measures the mean squared error between generated images and human-written captions or descriptions using semantic similarity metrics.,Lower
2425,SI-SDR,Scale-invariant signal-to-distortion ratio,Higher 
2426,SI-SDR-NB,Scale-Invariant Signal-to-Distortion Ratio - No Boundaries,Higher
2427,SI-SDR-WB,Scale-invariant signal-to-distortion ratio weighted by bark,Higher 
2428,SI-SDRi,Scale-invariant signal-to-distortion ratio improvement,Higher 
2429,SI-SNR,Scale-invariant signal-to-noise ratio for speech separation evaluation.,Higher
2430,SI-SNRi,Scale-invariant signal-to-noise ratio improvement,Higher 
2431,SICK-E,SICK-E,-
2432,SICK-R,SICK-R,N/A
2433,SIFID (S1),SIFID (S1),Lower 
2434,SIFID (S2),SIFID on S2 dataset,Lower
2435,SIFID (S3),A metric used to evaluate the performance of image generation models,Lower
2436,SIFID (S4),The SIFID score of a model on the S4 task,Lower
2437,SIFID (S5),SIFID on S5 dataset,Lower
2438,SIIB,Symmetric information loss with background for image segmentation,Lower
2439,Silhouette Score,A metric used to evaluate the performance of clustering models,Higher
2440,SIM,Similarity score,Higher 
2441,Single-view,A metric used to measure the performance of a 3D reconstruction system .,Higher
2442,SIR,Signal to Interference Ratio,Higher
2443,Size (MB),Size in megabytes,Lower 
2444,Slot Acc,The slot accuracy of a model,Higher
2445,Slot Accuracy,Accuracy of slot filling in dialogue systems,Higher 
2446,Slot F1 Score,Slot F1 score,Higher 
2447,Sm,A metric used to evaluate the performance of image segmentation models,Higher
2448,Small MR^-2,A metric used to evaluate the performance of object detection models,Higher
2449,Smatch,A metric for semantic parsing that measures the similarity between predicted and ground-truth semantic parses.,Higher
2450,Smiling,Smiling detection,N/A
2451,Smoothed BLEU-4,Smoothed bilingual evaluation understudy 4,Higher 
2452,snow/rain hard (AP),Average Precision (AP) for the snow/rain hard subset,Higher
2453,SNR,Signal to Noise Ratio,Higher
2454,SOA-C,The state-of-the-art score of a model on the C dataset,Higher
2455,Social Science,Social Science,N/A
2456,Social Sciences,Social Sciences,N/A
2457,Socioeconomic status,A metric used to measure the performance of a natural language processing system .,Higher
2458,SODA,A metric used to evaluate the performance of recommendation models,Higher
2459,Soft-F1,A metric used to measure the performance of a multi-label classification system .,Higher
2460,SOT,A metric used to measure the performance of a visual tracking system .,Higher
2461,South Asian,A metric used to evaluate the performance of text classification models,Higher
2462,Sparsity,The sparsity of a model,Lower
2463,Spearman Correlation,Spearman correlation,-
2464,Spearman Correlation Global,Spearman Correlation Global,Higher
2465,Spearman’s Rho,Spearman’s Rho,Higher
2466,Spearmanr,The Spearman rank correlation coefficient of a model,Higher
2467,specificity,A metric used to measure the performance of a binary classification system .,Higher
2468,Specificity,A metric used to evaluate the performance of classification models,Higher
2469,Specificity (VEB+),Specificity for VEB+ dataset,Higher
2470,Specificity Per-patient,Specificity Per-patient,Higher
2471,Specificity Per-segment,A metric used to evaluate the performance of image segmentation models,Higher
2472,Speech,The accuracy of a model on the speech recognition task,Higher
2473,Speed,Speed,Higher
2474,Speed (FPS),A metric used to measure the speed of a machine learning model .,Higher
2475,Speed (FPS),Speed (Frames Per Second),Higher
2476,Speed (ms/f),Inference speed in milliseconds per frame,Higher
2477,Speed(ms/f),Speed in milliseconds per frame,Higher
2478,SPICE,Semantic Propositional Image Caption Evaluation,Higher 
2479,SPIDEr,The SPIDEr score of a model,Higher
2480,spl,Success rate weighted by path length for navigation tasks.,Higher
2481,SPL (All),SPL (All),N/A
2482,SPL (L≥5),Percentage of successful navigation episodes with a path length of at least 5.,Higher
2483,SPL (Success Weighted by Path Length),SPL is a metric used to evaluate natural language processing models in navigation tasks. It measures the success rate of reaching a goal location weighted by the path length taken to reach that location.,Higher
2484,split-1 Top-1 Accuracy,A metric used to measure the performance of a recommendation system .,Higher
2485,SQ,SQ,N/A
2486,Sq Rel,Square of relative error between predicted and ground truth values,Lower 
2487,SQst,Success rate for grasping task,Higher 
2488,SQth,A metric used to measure the performance of a speaker diarization system .,Higher
2489,SRCC,Spearman rank correlation coefficient,Higher 
2490,SRI,A metric used to evaluate the quality of generative models,Higher
2491,SRMR,A metric used to measure the quality of a speech signal .,Higher
2492,SROCC,The Spearman rank order correlation coefficient of a model,Higher
2493,SS,The SS score of a model,Higher
2494,SSA,Single shot accuracy,Higher 
2495,SSIM,Structural Similarity Index,Higher 
2496,SSIM,Structural Similarity Index,Higher
2497,SSIM (Raw),Structural similarity index measure,Higher
2498,SSIM (sRGB),The SSIM score of a model on the sRGB task,Higher
2499,SSIM 4x T2w,SSIM 4x T2w,Higher
2500,SSIM for 2x T2w,Structural Similarity Index for 2x T2w,Higher
2501,ST-RRED,A metric used to evaluate the performance of text classification models,Lower
2502,Stance,The degree to which a model is biased towards a particular class,Lower
2503,Standard Deviation,Standard Deviation,N/A
2504,Standard Parseval (Full),The standard Parseval score of a model on the full dataset,Higher
2505,Standard Parseval (Nuclearity),A metric used to measure the performance of a matrix factorization algorithm .,Lower
2506,Standard Parseval (Relation),Standard Parseval on Relation dataset,N/A
2507,Standard Parseval (Span),Error rate for image inpainting using Parseval regularization,Lower
2508,STB,Short-term brightness,-
2509,Stdev Reconstruction Error (mm),The standard deviation of the reconstruction error of a model in millimeters,Lower
2510,STEM,A metric used to measure the performance of a machine translation system .,Higher
2511,Steps,Number of training steps taken by a machine learning model or neural network architecture during training.,-
2512,STOI,The STOI score of a model,Higher
2513,StreetMover,StreetMover,Higher 
2514,Strict Detection (F1),A metric used to evaluate the performance of object detection models,Higher
2515,Strict Detection (Pr.),A metric used to measure the performance of an object detection system .,Higher
2516,Strict Detection (Re.),Recall of correct object detection,Higher
2517,String-edit distance,The string-edit distance of a model,Lower
2518,Structure Aware Intrinsic Dimension,A metric for unsupervised learning that measures the intrinsic dimensionality of data.,Lower
2519,Structured Prediction,Structured Prediction,N/A
2520,STS,A metric used to measure the performance of a natural language processing system .,Higher
2521,Stuck Showers,The stuck showers score of a model,Lower
2522,Sub-tasks (Blank),Sub-task accuracy in a multi-task learning setting.,Higher
2523,Sub-tasks (Img.),Sub-tasks for image classification,Higher
2524,Sub-tasks (Txt.),"Sub-tasks (Text) is a metric used to evaluate natural language processing models that perform multiple sub-tasks such as named entity recognition, part-of-speech tagging, and dependency parsing.",N/A
2525,Subjective,Subjective,-
2526,Subjective score,Subjective score,Higher
2527,SUBS (All Surfaces),SUBS on All Surfaces dataset,N/A
2528,Success,Success,Higher
2529,Success Rate,Success Rate,Higher
2530,Success Rate (100 model calls),Percentage of successful model predictions out of 100 calls,Higher 
2531,Success Rate (500 model calls),Success Rate on 500 model calls,Higher
2532,Success Rate (All),Success rate (all),Higher 
2533,Success Rate (L≥5),Success rate on tasks with length greater than or equal to five in the CLEVR dataset.,Higher
2534,Success rate @budget 100,Success rate of generating a desired output within a computational budget of 100,Higher
2535,Success Rate 0.5,A metric used to measure the performance of a speaker diarization system .,Higher
2536,Success Rate 0.75,Success Rate at 0.75 threshold,Higher
2537,Success_mct,Success rate of the multi-class classification task,Higher
2538,SumScr,A metric used to evaluate the performance of question answering models,Higher
2539,SUP-EM,A metric used to evaluate the performance of natural language processing models,Higher
2540,SUP-F1,A metric used to evaluate the performance of text classification models,Higher
2541,Surface normal consistency,A metric used to measure the performance of a 3D reconstruction system .,Higher
2542,SWA,SWA,-
2543,SwAV-FID,The Fréchet Inception Distance of a model on the SwAV dataset,Lower
2544,SWD,Sliced Wasserstein Distance,Lower 
2545,SwitchBoard,A benchmark dataset for spoken dialogue systems,Higher 
2546,Synthetic Galaxy Distance,A metric used to measure the performance of a generative model .,Lower
2547,Table,Accuracy of table structure recognition,Higher
2548,TAR @ FAR=0.0001,True acceptance rate at false acceptance rate of 0.0001,Higher
2549,TAR @ FAR=0.001,A metric used to measure the performance of a face recognition system .,Higher
2550,TAR @ FAR=0.01,True Acceptance Rate at False Acceptance Rate of 0.01,Higher
2551,TAR @ FAR=0.1,True Acceptance Rate at a False Acceptance Rate of 0.1,Higher
2552,TAR @ FAR=1e-2,True acceptance rate at a false acceptance rate of 1e-2.,Higher
2553,TAR @ FAR=1e-3,True acceptance rate at false acceptance rate = 1e-3,Higher 
2554,TAR @ FAR=1e-4,"True acceptance rate at false acceptance rate of 1 in 10,000",Higher
2555,TAR @ FAR=1e-5,"True Accept Rate at a False Accept Rate of 1 in 100,000",Higher
2556,TAR @ FAR=1e-6,True Accept Rate at False Accept Rate of 1e-6,Higher
2557,TAR@FAR=0.0001,True accept rate at false accept rate of 0.0001,Higher 
2558,Target Binary F1,Target binary F1,Higher 
2559,Task 1 Accuracy: all,Task 1 Accuracy on all dataset,Higher
2560,Task 1 Accuracy: domain specific,Accuracy of a domain-specific classification task.,Higher
2561,Task 1 Accuracy: general purpose,A metric used to measure the performance of a natural language processing system .,Higher
2562,Task 2 Accuracy: all,Task 2 Accuracy on all dataset,Higher
2563,Task 2 Accuracy: domain specific,Task 2 Accuracy: domain specific,Higher
2564,Task 2 Accuracy: general purpose,Task 2 Accuracy on general purpose dataset,Higher
2565,Task 3 Accuracy: all,A metric used to measure the performance of a natural language processing system .,Higher
2566,Task 3 Accuracy: domain specific,A metric used to measure the performance of a natural language processing system .,Higher
2567,Task 3 Accuracy: general purpose,The accuracy of a model on the general purpose task,Higher
2568,Task Completion (TC),A metric used to evaluate the performance of natural language processing models,Higher
2569,TBDC,The time-bandwidth product of a signal,Not Clear
2570,TC,The TC score of a model,Higher
2571,TE (all),TE on all dataset,N/A
2572,TEDS (all samples),Total elapsed time for all samples in seconds.,Lower
2573,TEDS-Struct,A metric used to measure the performance of a natural language processing system .,Higher
2574,TEH,A metric used to measure the performance of a speaker diarization system .,Higher
2575,Temporal awareness,Temporal awareness,Higher 
2576,Temporal Consistency,Temporal Consistency,N/A
2577,TER,TER,Lower
2578,Terr,The accuracy of a model on the Terr dataset,Higher
2579,Test,A metric used to evaluate the performance of recommendation models,Higher
2580,Test A,A metric used to evaluate the performance of natural language processing models,Higher
2581,Test Accuracy,Test Accuracy is a metric used to evaluate machine learning models on test datasets. It measures how accurately a model can predict labels on previously unseen data.,Higher
2582,Test AP,A metric used to evaluate the performance of object detection models,Higher
2583,Test AUC top 1,A metric used to evaluate the performance of image classification models,Higher
2584,Test AUC top 2,A metric used to evaluate the performance of recommendation models,Higher
2585,Test AUC top 3,A metric used to measure the performance of a binary classification system .,Higher
2586,Test B,Test B,N/A
2587,Test CER,Test Character Error Rate,Lower
2588,Test error,Error rate on the test set of a machine learning model or neural network architecture.,-
